"trip_id","start_index","end_index","start_latitude","start_longitude","end_latitude","end_longitude","travel_time_min","start_datetime","end_datetime","geometry_start","geometry_end"
1,2565,3365,19.0833231278005,72.8336906531712,19.0484517017495,72.8254187091714,8,2024-01-01 23:27:00,2024-01-01 23:35:00,c(72.8336906531712, 19.0833231278005),c(72.8254187091714, 19.0484517017495)
2,3373,1180,19.075753158041,72.828778563255,19.0508397321796,72.840465912754,15,2024-01-01 10:34:00,2024-01-01 10:49:00,c(72.828778563255, 19.075753158041),c(72.840465912754, 19.0508397321796)
3,818,1651,19.0660081127516,72.8289420255819,19.0834005075376,72.8328323367617,23,2024-01-01 07:17:00,2024-01-01 07:40:00,c(72.8289420255819, 19.0660081127516),c(72.8328323367617, 19.0834005075376)
4,3243,1816,19.0719747050088,72.8395106513027,19.0791829595748,72.8397265569601,12,2024-01-01 20:53:00,2024-01-01 21:05:00,c(72.8395106513027, 19.0719747050088),c(72.8397265569601, 19.0791829595748)
5,2176,3928,19.0746497578064,72.8363669878673,19.0768928125182,72.837342570925,21,2024-01-01 09:30:00,2024-01-01 09:51:00,c(72.8363669878673, 19.0746497578064),c(72.837342570925, 19.0768928125182)
6,262,5448,19.0569843027235,72.8300439478197,19.0714112065803,72.8397988701801,8,2024-01-01 21:19:00,2024-01-01 21:27:00,c(72.8300439478197, 19.0569843027235),c(72.8397988701801, 19.0714112065803)
7,3938,4588,19.0642692239085,72.8235727962287,19.0572959137694,72.8360030298961,19,2024-01-01 23:22:00,2024-01-01 23:41:00,c(72.8235727962287, 19.0642692239085),c(72.8360030298961, 19.0572959137694)
8,3168,4946,19.074899289143,72.8248257094844,19.0504185999792,72.8265992057961,12,2024-01-01 04:41:00,2024-01-01 04:53:00,c(72.8248257094844, 19.074899289143),c(72.8265992057961, 19.0504185999792)
9,2226,2071,19.0849187927583,72.8399370570597,19.0748152589541,72.8359194576439,28,2024-01-01 21:26:00,2024-01-01 21:54:00,c(72.8399370570597, 19.0849187927583),c(72.8359194576439, 19.0748152589541)
10,815,3244,19.0595065447796,72.8343132632379,19.0609116005672,72.8366791829771,11,2024-01-01 15:52:00,2024-01-01 16:03:00,c(72.8343132632379, 19.0595065447796),c(72.8366791829771, 19.0609116005672)
11,5005,3934,19.058309929685,72.8333019844453,19.0590944793484,72.8362996761231,22,2024-01-01 16:50:00,2024-01-01 17:12:00,c(72.8333019844453, 19.058309929685),c(72.8362996761231, 19.0590944793484)
